frame,timecode,name,color,type,note
0,00:00:00:00,B00  (0:00.0),Blue,BEAT,beat start · 311f
6,00:00:00:06,B00 SIG: Nothing is free. ,Pink,SIG,in 00:00:00:00 out 00:00:02:24
213,00:00:07:03,"B00 PUNCH: kicker ""Already paid""  •  FOUR COMPANIES  •  sub ""before you",Orange,PUNCH,in 00:00:06:25 out 00:00:09:21
311,00:00:10:11,B01  (0:10.4),Blue,BEAT,beat start · 1064f
1176,00:00:39:06,"B01 PUNCH: kicker ""Every company that gets paid,""  •  IN WHAT ORDER",Orange,PUNCH,in 00:00:38:28 out 00:00:41:18
1375,00:00:45:25,B02  (0:45.8),Blue,BEAT,beat start · 1549f
2924,00:01:37:14,B03  (1:37.5),Blue,BEAT,beat start · 1191f
3764,00:02:05:14,B03 PUNCH: FREE TO RECEIVE,Orange,PUNCH,in 00:02:05:06 out 00:02:07:20
3944,00:02:11:14,B03 DEEP_HOLD: If nobody charges you at the antenna,Yellow,DEEP_HOLD,in 00:02:11:06 out 00:02:16:29
4115,00:02:17:05,B04  (2:17.2),Blue,BEAT,beat start · 1679f
4715,00:02:37:05,B04 PUNCH: THE CABLE ACT  ·  1992,Orange,PUNCH,in 00:02:36:27 out 00:02:39:17
4985,00:02:46:05,B04 LABEL: MUST CARRY,Green,LABEL,in 00:02:45:29 out 00:02:53:05
5195,00:02:53:05,B04 LABEL: RETRANS CONSENT,Green,LABEL,in 00:02:52:29 out 00:02:59:05
5675,00:03:09:05,B04 PUNCH: ALMOST EVERY STATION picked to get paid,Orange,PUNCH,in 00:03:08:27 out 00:03:11:23
5794,00:03:13:04,B05  (3:13.1),Blue,BEAT,beat start · 1410f
6244,00:03:28:04,B05 DEEP: This year: $15 BILLION,Yellow,DEEP,in 00:03:27:26 out 00:03:31:19
7114,00:03:57:04,B05 PUNCH: +7% in a single year,Orange,PUNCH,in 00:03:56:26 out 00:03:59:10
7204,00:04:00:04,B06  (4:00.1),Blue,BEAT,beat start · 1710f
7474,00:04:09:04,B06 LABEL: BROADCAST TV FEE,Green,LABEL,in 00:04:08:28 out 00:04:15:04
7954,00:04:25:04,B06 PUNCH: NOT A TAX  ·  NOT OPTIONAL,Orange,PUNCH,in 00:04:24:26 out 00:04:27:16
8914,00:04:57:04,B07  (4:57.1),Blue,BEAT,beat start · 1009f
9904,00:05:30:04,"B07 PUNCH: ""NEGOTIATING TACTIC""",Orange,PUNCH,in 00:05:29:26 out 00:05:32:22 (crosses cut)
9923,00:05:30:23,B08  (5:30.8),Blue,BEAT,beat start · 1045f
10043,00:05:34:23,B08 LABEL: SEP 2023,Green,LABEL,in 00:05:34:17 out 00:05:40:23
10403,00:05:46:23,"B08 DEEP: 15,000,000 households  ·  no vote",Yellow,DEEP,in 00:05:46:15 out 00:05:49:23
10703,00:05:56:23,B08 DEEP: 12 DAYS DARK,Yellow,DEEP,in 00:05:56:15 out 00:05:59:23
10968,00:06:05:18,B09  (6:05.6),Blue,BEAT,beat start · 1345f
11118,00:06:10:18,B09 LABEL: SEP 2024  ·  SATELLITE,Green,LABEL,in 00:06:10:12 out 00:06:16:18
11868,00:06:35:18,B09 DEEP: 13 DAYS,Yellow,DEEP,in 00:06:35:10 out 00:06:38:18
12313,00:06:50:13,B10  (6:50.4),Blue,BEAT,beat start · 1672f
12463,00:06:55:13,B10 LABEL: OCT 2025  ·  STREAMING,Green,LABEL,in 00:06:55:07 out 00:07:01:13
13393,00:07:26:13,"B10 DEEP: Cable. Satellite. Streaming.  Three fights, three years in a",Yellow,DEEP,in 00:07:26:05 out 00:07:30:07
13873,00:07:42:13,B10 PUNCH: A STRATEGY DISNEY RUNS ON A SCHEDULE,Orange,PUNCH,in 00:07:42:05 out 00:07:45:07
13985,00:07:46:05,B11  (7:46.2),Blue,BEAT,beat start · 1285f
14795,00:08:13:05,B11 LABEL: RSN FEE,Green,LABEL,in 00:08:12:29 out 00:08:19:05
15245,00:08:28:05,B11 PUNCH: YOU JUST CHANGED WHO MAILS YOU THE BILL,Orange,PUNCH,in 00:08:27:27 out 00:08:30:29 (crosses cut)
15270,00:08:29:00,B12  (8:29.0),Blue,BEAT,beat start · 580f
15270,00:08:29:00,B12 DEEP: SUBSCRIBE,Yellow,DEEP,in 00:08:28:22 out 00:08:33:00
15850,00:08:48:10,B13  (8:48.3),Blue,BEAT,beat start · 980f
16420,00:09:07:10,B13 DEEP: 60–90% of every dollar cable pays broadcasters,Yellow,DEEP,in 00:09:07:02 out 00:09:10:25
16830,00:09:21:00,B14  (9:21.0),Blue,BEAT,beat start · 1134f
17730,00:09:51:00,B14 PUNCH: BILLED WHETHER YOU WATCH A GAME OR NOT,Orange,PUNCH,in 00:09:50:22 out 00:09:53:24
17964,00:09:58:24,B15  (9:58.8),Blue,BEAT,beat start · 887f
18414,00:10:13:24,B15 DEEP: $7.5B,Yellow,DEEP,in 00:10:13:16 out 00:10:17:09
18851,00:10:28:11,B16  (10:28.4),Blue,BEAT,beat start · 1360f
19451,00:10:48:11,B16 LABEL: SPORTS TIER,Green,LABEL,in 00:10:48:05 out 00:10:54:11
19631,00:10:54:11,B16 PUNCH: THE FEE IS BAKED IN ON PURPOSE,Orange,PUNCH,in 00:10:54:03 out 00:10:56:29
20211,00:11:13:21,B17  (11:13.7),Blue,BEAT,beat start · 1861f
21951,00:12:11:21,B17 PUNCH: THE MODEL OUTRAN ITS OWN AUDIENCE,Orange,PUNCH,in 00:12:11:13 out 00:12:14:15
22072,00:12:15:22,B18  (12:15.7),Blue,BEAT,beat start · 899f
22612,00:12:33:22,"B18 LABEL: $ per 1,000 viewers  ×  the rating  =  the ad price",Green,LABEL,in 00:12:33:16 out 00:12:39:22
22762,00:12:38:22,B18 PUNCH: SAME 30 SECONDS  ·  HIGHER PRICE,Orange,PUNCH,in 00:12:38:14 out 00:12:41:04
22971,00:12:45:21,B19  (12:45.7),Blue,BEAT,beat start · 1163f
23751,00:13:11:21,B19 PUNCH: BILLED AS A SUBSCRIBER  ·  SOLD AS AN AUDIENCE,Orange,PUNCH,in 00:13:11:13 out 00:13:14:15
24081,00:13:22:21,B19 DEEP: You only ever see the first one.,Yellow,DEEP,in 00:13:22:13 out 00:13:25:27 (crosses cut)
24134,00:13:24:14,B20  (13:24.5),Blue,BEAT,beat start · 714f
24464,00:13:35:14,"B20 DEEP: 77,000,000 households have cut it entirely",Yellow,DEEP,in 00:13:35:06 out 00:13:38:29
24704,00:13:43:14,B20 PUNCH: FEWER THAN HALF STILL PAY FOR TV,Orange,PUNCH,in 00:13:43:06 out 00:13:46:08
24848,00:13:48:08,B21  (13:48.3),Blue,BEAT,beat start · 777f
25178,00:13:59:08,B21 DEEP: ▲ 7%,Yellow,DEEP,in 00:13:59:00 out 00:14:02:23
25418,00:14:07:08,B21 PUNCH: FEWER PEOPLE  ·  EACH HOLDING MORE OF THE BILL,Orange,PUNCH,in 00:14:07:00 out 00:14:10:02
25625,00:14:14:05,B22  (14:14.2),Blue,BEAT,beat start · 1218f
25925,00:14:24:05,B22 LABEL: SPORTS FAN,Green,LABEL,in 00:14:23:29 out 00:14:30:05
26105,00:14:30:05,B22 LABEL: BUNDLED W/ INTERNET,Green,LABEL,in 00:14:29:29 out 00:14:36:05
26285,00:14:36:05,B22 LABEL: ONLY ONE PROVIDER,Green,LABEL,in 00:14:35:29 out 00:14:42:05
26825,00:14:54:05,B22 PUNCH: THE LEAST LEVERAGE TO SAY NO,Orange,PUNCH,in 00:14:53:27 out 00:14:56:23 (crosses cut)
26843,00:14:54:23,B23  (14:54.8),Blue,BEAT,beat start · 926f
27293,00:15:09:23,B23 DEEP: 200+ stations,Yellow,DEEP,in 00:15:09:15 out 00:15:12:29
27769,00:15:25:19,B24  (15:25.6),Blue,BEAT,beat start · 928f
28369,00:15:45:19,B24 DEEP: $700M+ in one quarter,Yellow,DEEP,in 00:15:45:11 out 00:15:48:25
28669,00:15:55:19,B24 PUNCH: FOR SIGNALS FREE WITH A $20 ANTENNA,Orange,PUNCH,in 00:15:55:11 out 00:15:58:07 (crosses cut)
28697,00:15:56:17,B25  (15:56.6),Blue,BEAT,beat start · 1513f
29267,00:16:15:17,B25 LABEL: POLITICAL CANDIDATE,Green,LABEL,in 00:16:15:11 out 00:16:21:17
29747,00:16:31:17,B25 PUNCH: A PROTECTED BEST PRICE,Orange,PUNCH,in 00:16:31:09 out 00:16:34:11
30210,00:16:47:00,B26  (16:47.0),Blue,BEAT,beat start · 1012f
31050,00:17:15:00,B26 PUNCH: PROBABLY WHY YOUR STATION STILL HAS REAL REPORTERS,Orange,PUNCH,in 00:17:14:22 out 00:17:18:00
31222,00:17:20:22,B27  (17:20.7),Blue,BEAT,beat start · 829f
31972,00:17:45:22,B27 PUNCH: YOU WERE NEVER IN THE ROOM WHERE THE PRICE GOT DECIDED,Orange,PUNCH,in 00:17:45:14 out 00:17:48:22 (crosses cut)
32051,00:17:48:11,B28  (17:48.4),Blue,BEAT,beat start · 1405f
32141,00:17:51:11,B28 LABEL: Avg TV bill  $100+/mo,Green,LABEL,in 00:17:51:05 out 00:18:01:11
32441,00:18:01:11,B28 LABEL: Broadcast fee  $100+/yr,Green,LABEL,in 00:18:01:05 out 00:18:11:11
32741,00:18:11:11,B28 LABEL: Sports fee,Green,LABEL,in 00:18:11:05 out 00:18:21:11
33041,00:18:21:11,B28 LABEL: The rate  ▲ every year,Green,LABEL,in 00:18:21:05 out 00:18:27:11
33161,00:18:25:11,B28 DEEP: NEVER ACTUALLY YOUR CHOICE,Yellow,DEEP,in 00:18:25:03 out 00:18:29:05
33456,00:18:35:06,B29  (18:35.2),Blue,BEAT,beat start · 1542f
34116,00:18:57:06,B29 LABEL: THE NETWORK,Green,LABEL,in 00:18:57:00 out 00:19:19:16
34182,00:18:59:12,B29 LABEL: LOCAL STATION,Green,LABEL,in 00:18:59:06 out 00:19:19:16
34251,00:19:01:21,B29 LABEL: RATINGS CO.,Green,LABEL,in 00:19:01:15 out 00:19:19:16
34320,00:19:04:00,B29 LABEL: ADVERTISER,Green,LABEL,in 00:19:03:24 out 00:19:19:16
34386,00:19:06:06,B29 LABEL: THE OPERATOR,Green,LABEL,in 00:19:06:00 out 00:19:19:16
34821,00:19:20:21,B29 DEEP_HOLD: YOU,Yellow,DEEP_HOLD,in 00:19:20:13 out 00:19:26:12
34998,00:19:26:18,B30  (19:26.6),Blue,BEAT,beat start · 892f
35890,00:19:56:10,B31  (19:56.3),Blue,BEAT,beat start · 705f
36400,00:20:13:10,B31 PUNCH: SOMEBODY ALREADY PAYS FOR EVERY PIN,Orange,PUNCH,in 00:20:13:02 out 00:20:16:04
36595,00:20:19:25,B32  (20:19.8),Blue,BEAT,beat start · 635f
