Timecode,Name,Notes
00:00:00:00,B00,OPENING · 36w · 16.4s
00:00:16:13,B01,OPENING · 67w · 29.4s
00:00:45:25,B02,MEDIUM · 80w · 36.4s
00:01:22:08,B03,MEDIUM · 65w · 29.5s
00:01:51:22,B04,MEDIUM · 92w · 36.0s
00:02:27:23,B05,HIGH · 90w · 36.9s
00:03:04:20,B06,HIGH · 87w · 36.0s
00:03:40:19,B07,MEDIUM · 77w · 30.0s
00:04:10:20,B08,HIGH · 89w · 39.7s
00:04:50:11,B09,MEDIUM · 74w · 37.0s
00:05:27:11,B10,HIGH · 92w · 46.3s
00:06:13:20,B11,MEDIUM · 71w · 30.7s
00:06:44:10,B12,REST · 63w · 26.1s
00:07:10:14,B13,MEDIUM · 55w · 21.2s · FAST
00:07:31:21,B14,HIGH · 59w · 27.6s
00:07:59:08,B15,MEDIUM · 86w · 34.6s
00:08:33:26,B16,MEDIUM · 72w · 25.5s · FAST
00:08:59:10,B17,MEDIUM · 57w · 24.9s
00:09:24:08,B18,MEDIUM · 83w · 38.9s
00:10:03:06,B19,MEDIUM · 82w · 31.6s · FAST
00:10:34:25,B20,HIGH · 69w · 31.4s
00:11:06:07,B21,HIGH · 72w · 34.6s
00:11:40:25,B22,MEDIUM · 53w · 21.8s
00:12:02:19,B23,HIGH · 118w · 49.0s
00:12:51:19,B24,HIGH · 98w · 37.1s · FAST
00:13:28:23,B25,MEDIUM · 57w · 27.8s
00:13:56:17,B26,MEDIUM · 64w · 29.7s
00:14:26:09,B27,MEDIUM · 73w · 35.1s
00:15:01:11,B28,MEDIUM · 58w · 24.9s
00:15:26:09,B29,MEDIUM · 60w · 21.9s · FAST
00:15:48:06,B30,REVERSAL · 96w · 39.5s
00:16:27:22,B31,MEDIUM · 60w · 24.9s
00:16:52:20,B32,MEDIUM · 48w · 22.6s
00:17:15:08,B33,MEDIUM · 52w · 19.9s · FAST
00:17:35:03,END,17:35.1 total
